Food,Nutr. Units / FU,Data Type,Unit,5th pctl,10th pctl,Mean,Median,90th pctl,95 pctl,North America,Latin America,Sub-Saharan Africa,Western Europe,Eastern Europe,Russia,Middle East / North Africa,South Asia,SE Asia,Oceania,World
Pig Meat,1.6,Land Use,m2/FU,7.36,7.68,17.60,13.28,30.40,33.60,,,,,,,,,,,
Poultry Meat,1.7,Land Use,m2/FU,6.29,6.46,12.07,10.88,15.64,20.40,,,,,,,,,,,
Milk,-,Land Use,m2/FU,,,,,,,,,,,,,,,,,
Cheese,2.2,Land Use,m2/FU,7.92,9.46,88.00,20.02,237.60,321.20,,,,,,,,,,,
Eggs,1.1,Land Use,m2/FU,4.18,4.29,6.27,5.61,8.69,8.69,,,,,,,,,,,
Fish (farmed),2.3,Land Use,m2/FU,0.23,0.92,8.51,5.75,10.58,27.60,,,,,,,,,,,
Crustaceans (Farmed),1.5,Land Use,m2/FU,0.60,0.60,3.00,0.90,5.25,5.25,,,,,,,,,,,
Beyond Meat,-,Freshwater Withdrawals,L/FU,,,,,,,,,,,,,,,,,
Mealworm,-,Freshwater Withdrawals,L/FU,,,,,,,,,,,,,,,,,
Wheat & Rye (Bread),2.7,Freshwater Withdrawals,L/FU,2.70,2.70,653.40,423.90,1090.80,3399.30,,,,,,,,,,,
Maize (Meal),4.5,Freshwater Withdrawals,L/FU,0.00,0.00,216.00,45.00,526.50,594.00,,,,,,,,,,,
Barley (Beer),5,Freshwater Withdrawals,L/FU,5.00,5.00,15.00,5.00,10.00,50.00,,,,,,,,,,,
Oatmeal,2.6,Freshwater Withdrawals,L/FU,0.00,0.00,478.40,665.60,798.20,842.40,,,,,,,,,,,
Rice,3.7,Freshwater Withdrawals,L/FU,0.00,0.00,2257.00,1579.90,3951.60,10615.30,,,,,,,,,,,
Potatoes,0.7,Freshwater Withdrawals,L/FU,0.00,0.70,56.70,2.80,127.40,225.40,,,,,,,,,,,
Cassava,1,Freshwater Withdrawals,L/FU,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,
Cane Sugar,-,Freshwater Withdrawals,L/FU,,,,,,,,,,,,,,,,,
Beet Sugar,-,Freshwater Withdrawals,L/FU,,,,,,,,,,,,,,,,,
Other Pulses,2.1,Freshwater Withdrawals,L/FU,0.00,0.00,428.40,0.00,1226.40,2158.80,,,,,,,,,,,
Peas,2.2,Freshwater Withdrawals,L/FU,0.00,0.00,391.60,0.00,3069.00,3548.60,,,,,,,,,,,
Nuts,1.6,Freshwater Withdrawals,L/FU,0.00,0.00,4049.60,1787.20,8923.20,11153.60,,,,,,,,,,,
Groundnuts,2.6,Freshwater Withdrawals,L/FU,54.60,689.00,1840.80,894.40,6479.20,6479.20,,,,,,,,,,,
Soymilk,-,Freshwater Withdrawals,L/FU,,,,,,,,,,,,,,,,,
Tofu,1.6,Freshwater Withdrawals,L/FU,6.40,6.40,148.80,6.40,777.60,864.00,,,,,,,,,,,
Soybean Oil,-,Freshwater Withdrawals,L/FU,,,,,,,,,,,,,,,,,
Palm Oil,-,Freshwater Withdrawals,L/FU,,,,,,,,,,,,,,,,,
Sunflower Oil,-,Freshwater Withdrawals,L/FU,,,,,,,,,,,,,,,,,
Rapeseed Oil,-,Freshwater Withdrawals,L/FU,,,,,,,,,,,,,,,,,
Olive Oil,-,Freshwater Withdrawals,L/FU,,,,,,,,,,,,,,,,,
Tomatoes,-,Freshwater Withdrawals,L/FU,,,,,,,,,,,,,,,,,
Onions & Leeks,-,Freshwater Withdrawals,L/FU,,,,,,,,,,,,,,,,,
Root Vegetables,-,Freshwater Withdrawals,L/FU,,,,,,,,,,,,,,,,,
Brassicas,-,Freshwater Withdrawals,L/FU,,,,,,,,,,,,,,,,,
Other Vegetables,-,Freshwater Withdrawals,L/FU,,,,,,,,,,,,,,,,,
Citrus Fruit,-,Freshwater Withdrawals,L/FU,,,,,,,,,,,,,,,,,
Bananas,-,Freshwater Withdrawals,L/FU,,,,,,,,,,,,,,,,,
Apples,-,Freshwater Withdrawals,L/FU,,,,,,,,,,,,,,,,,
Berries & Grapes,-,Freshwater Withdrawals,L/FU,,,,,,,,,,,,,,,,,
Wine,12.5,Freshwater Withdrawals,L/FU,0.00,0.00,75.00,0.00,325.00,350.00,,,,,,,,,,,
Other Fruit,-,Freshwater Withdrawals,L/FU,,,,,,,,,,,,,,,,,
Coffee,67,Freshwater Withdrawals,L/FU,0.00,0.00,0.00,0.00,67.00,67.00,,,,,,,,,,,
Dark Chocolate,20,Freshwater Withdrawals,L/FU,0.00,0.00,540.00,20.00,60.00,260.00,,,,,,,,,,,
Bovine Meat (Beef herd),2,Freshwater Withdrawals,L/FU,216.00,270.00,1456.00,742.00,2594.00,5258.00,,,,,,,,,,,
Bovine Meat (Dairy herd),2,Freshwater Withdrawals,L/FU,190.00,194.00,2750.00,2648.00,5876.00,8860.00,,,,,,,,,,,
Lamb & Mutton,2,Freshwater Withdrawals,L/FU,88.00,98.00,1802.00,460.00,7130.00,7822.00,,,,,,,,,,,
Pig Meat,1.6,Freshwater Withdrawals,L/FU,81.60,86.40,1776.00,1790.40,3278.40,3516.80,,,,,,,,,,,
Poultry Meat,1.7,Freshwater Withdrawals,L/FU,18.70,18.70,647.70,363.80,1630.30,1662.60,,,,,,,,,,,
Milk,-,Freshwater Withdrawals,L/FU,,,,,,,,,,,,,,,,,
Cheese,2.2,Freshwater Withdrawals,L/FU,158.40,178.20,5585.80,1553.20,23364.00,25663.00,,,,,,,,,,,
Eggs,1.1,Freshwater Withdrawals,L/FU,138.60,138.60,573.10,627.00,957.00,1024.10,,,,,,,,,,,
Fish (farmed),2.3,Freshwater Withdrawals,L/FU,609.50,1127.00,3723.70,1593.90,10561.60,12293.50,,,,,,,,,,,
Crustaceans (Farmed),1.5,Freshwater Withdrawals,L/FU,664.50,673.50,3570.00,1227.00,4456.50,29355.00,,,,,,,,,,,
Beyond Meat,-,Stress-weighted water use,L/FU,,,,,,,,,,,,,,,,,
Mealworm,-,Stress-weighted water use,L/FU,,,,,,,,,,,,,,,,,
Wheat & Rye (Bread),2.7,Stress-weighted water use,L/FU,2.70,5.40,33693.30,12941.10,55493.10,227850.30,,,,,,,,,,,
Maize (Meal),4.5,Stress-weighted water use,L/FU,0.00,0.00,10809.00,346.50,24255.00,28075.50,,,,,,,,,,,
Barley (Beer),5,Stress-weighted water use,L/FU,10.00,10.00,695.00,25.00,290.00,1620.00,,,,,,,,,,,
Oatmeal,2.6,Stress-weighted water use,L/FU,0.00,0.00,18621.20,24242.40,29094.00,30742.40,,,,,,,,,,,
Rice,3.7,Stress-weighted water use,L/FU,0.00,0.00,49765.00,4643.50,115754.50,192000.40,,,,,,,,,,,
Potatoes,0.7,Stress-weighted water use,L/FU,0.00,7.70,2634.10,74.90,8520.40,8585.50,,,,,,,,,,,
Cassava,1,Stress-weighted water use,L/FU,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,
